hike_name,Field1_links,difficulty,distance,elevation,URL,latitude,longitude,drive_time
4T Loop Hike,https://www.oregonhikers.org/field_guide/4T_Loop_Hike,Easy,4.4 miles,775 feet,https://www.oregonhikers.org/field_guide/Marquam_Nature_Park_Shelter_Trailhead,Latitude: 45.50287,Longitude: -122.69169,10 minutes
Abbott Butte Hike,https://www.oregonhikers.org/field_guide/Abbott_Butte_Hike,Easy,7 miles,"1,500 feet",https://www.oregonhikers.org/field_guide/Abbott_Butte_Trailhead,Latitude: 42.91898,Longitude: -122.58445,6.5 hours
Ainsworth Loop Hike,https://www.oregonhikers.org/field_guide/Ainsworth_Loop_Hike,Easy,0.4 miles,150 feet,https://www.oregonhikers.org/field_guide/Ainsworth_Loop_Trailhead,Latitude: 45.59232,Longitude: -122.0584,40 minutes
Airport Park Loop Hike,https://www.oregonhikers.org/field_guide/Airport_Park_Loop_Hike,Easy,1.4 miles,30 feet,https://www.oregonhikers.org/field_guide/Airport_Park_Trailhead,Latitude: 45.1973,Longitude: -123.1466,55 minutes
Alder Flat Hike,https://www.oregonhikers.org/field_guide/Alder_Flat_Hike,Easy,1.6 miles,210 feet,https://www.oregonhikers.org/field_guide/Alder_Flat_Trailhead,Latitude: 45.0807,Longitude: -122.0562,70 minutes
Alder Island Loop Hike,https://www.oregonhikers.org/field_guide/Alder_Island_Loop_Hike,Easy,0.8 miles,5 feet,https://www.oregonhikers.org/field_guide/Alder_Island_Trailhead,Latitude: 44.89535,Longitude: -124.00874,2 hours
Alder Ridge Loop Hike,https://www.oregonhikers.org/field_guide/Alder_Ridge_Loop_Hike,Easy,2.6 miles,380 feet,https://www.oregonhikers.org/field_guide/Homan_Road_Trailhead,Latitude: 45.48313,Longitude: -122.30071,40 minutes
Alder-Wildwood Loop Hike,https://www.oregonhikers.org/field_guide/Alder-Wildwood_Loop_Hike,Easy,2.9 miles,460 feet,https://www.oregonhikers.org/field_guide/Northwest_53rd_Trailhead,Latitude: 45.53838,Longitude: -122.73407,15 minutes
Alsea and Green Peak Falls Hike,https://www.oregonhikers.org/field_guide/Alsea_and_Green_Peak_Falls_Hike,Easy,4.2 miles,230 feet,https://www.oregonhikers.org/field_guide/Alsea_Falls_Trailhead,Latitude: 44.32410,Longitude: -123.49186,115 minutes
Alton Baker Park Loop Hike,https://www.oregonhikers.org/field_guide/Alton_Baker_Park_Loop_Hike,Easy,4.9 miles,30 feet,https://www.oregonhikers.org/field_guide/Alton_Baker_Park_Trailhead,Latitude: 44.0554,Longitude: -123.0811,1.75 hours
