hike_name,Field1_links,difficulty,distance,elevation,URL,latitude,longitude,drive_time
Tumalo Creek Canyon Loop Hike,https://www.oregonhikers.org/field_guide/Tumalo_Creek_Canyon_Loop_Hike,Moderate,9.1 miles,940 feet,https://www.oregonhikers.org/field_guide/Tumalo_Creek_Trailhead,Latitude: 44.0517,Longitude: -121.4120,3.5 hours
Tumalo Falls Loop Hike,https://www.oregonhikers.org/field_guide/Tumalo_Falls_Loop_Hike,Moderate,7 miles,"1,460 feet",https://www.oregonhikers.org/field_guide/Tumalo_Falls_Trailhead,Latitude: 44.0319,Longitude: -121.5664,220 minutes
Twin Lakes Hike,https://www.oregonhikers.org/field_guide/Twin_Lakes_Hike,Moderate,7 miles,"1,360 feet",https://www.oregonhikers.org/field_guide/Frog_Lake_Sno-Park,Latitude: 45.2291,Longitude: -121.6992,85 minutes
Twin Lakes-Palmateer Point Loop Hike,https://www.oregonhikers.org/field_guide/Twin_Lakes-Palmateer_Point_Loop_Hike,Moderate,9.4 miles,"1,935 feet",https://www.oregonhikers.org/field_guide/Frog_Lake_Sno-Park,Latitude: 45.2291,Longitude: -121.6992,85 minutes
Twin Pillars Hike,https://www.oregonhikers.org/field_guide/Twin_Pillars_Hike,Moderate,6 miles,"1,035 feet",https://www.oregonhikers.org/field_guide/North_Twin_Pillars_Trailhead,Latitude: 44.5143,Longitude: -120.5288,205 minutes
Twin Rocks Beach Hike,https://www.oregonhikers.org/field_guide/Twin_Rocks_Beach_Hike,Moderate,9.2 miles,30 feet,https://www.oregonhikers.org/field_guide/Barview_County_Park_Trailhead,Latitude: 45.5690,Longitude: -123.9452,100 minutes
Underhill Trail to Fifteenmile Creek Hike,https://www.oregonhikers.org/field_guide/Underhill_Trail_to_Fifteenmile_Creek_Hike,Moderate,11.8 miles,"1,785 feet",https://www.oregonhikers.org/field_guide/Underhill_Trailhead,Latitude: 45.3964,Longitude: -121.4157,110 minutes
Union Peak Hike,https://www.oregonhikers.org/field_guide/Union_Peak_Hike,Moderate,11 miles,"1,600 feet",https://www.oregonhikers.org/field_guide/Union_Peak_Trailhead,Latitude: 42.83722,Longitude: -122.19674,4.5 hours
University Falls Loop Hike,https://www.oregonhikers.org/field_guide/University_Falls_Loop_Hike,Moderate,8 miles,"1,275 feet",https://www.oregonhikers.org/field_guide/Rogers_Camp_Trailhead,Latitude: 45.62260,Longitude: -123.37570,50 minutes
Upper Boulder Creek Loop Hike,https://www.oregonhikers.org/field_guide/Upper_Boulder_Creek_Loop_Hike,Moderate,10.4 miles,"2,140 feet",https://www.oregonhikers.org/field_guide/Boulder_Lake_Trailhead,Latitude: 45.25865,Longitude: -121.55944,110 minutes
Upper Salmon River Hike,https://www.oregonhikers.org/field_guide/Upper_Salmon_River_Hike,Moderate,11 miles,"1,550 feet",https://www.oregonhikers.org/field_guide/Salmon_River_East_Trailhead,Latitude: 45.22650,Longitude: -121.77342,90 minutes
Vancouver Lake-Frenchmans Bar Hike,https://www.oregonhikers.org/field_guide/Vancouver_Lake-Frenchmans_Bar_Hike,Easy,10.5 miles,10 feet,https://www.oregonhikers.org/field_guide/Vancouver_Lake_Trailhead,Latitude: 45.6811,Longitude: -122.7432,20 minutes
Veterans Creek to Mount Scott Hike,https://www.oregonhikers.org/field_guide/Veterans_Creek_to_Mount_Scott_Hike,Moderate,6.8 miles,"1,115 feet",https://www.oregonhikers.org/field_guide/98th_Avenue_Trailhead,Latitude: 45.4671,Longitude: -122.5629,20 minutes
