hike_name,Field1_links,difficulty,distance,elevation,URL,latitude,longitude,drive_time
Tall Trees Hike,https://www.oregonhikers.org/field_guide/Tall_Trees_Hike,Easy,3.6 miles,710 feet,https://www.oregonhikers.org/field_guide/Tall_Trees_Trailhead,Latitude: 41.20810,Longitude: -123.99323,425 minutes
Tamanawas Falls Hike,https://www.oregonhikers.org/field_guide/Tamanawas_Falls_Hike,Easy,3.4 miles,560 feet,https://www.oregonhikers.org/field_guide/Tamanawas_Falls_Trailhead,Latitude: 45.3972,Longitude: -121.5718,100 minutes
Tanner Creek Loop Hike,https://www.oregonhikers.org/field_guide/Tanner_Creek_Loop_Hike,Easy,3.4 miles,385 feet,https://www.oregonhikers.org/field_guide/Rosemont_Ridge_Trailhead,Latitude: 45.3684,Longitude: -122.6485,25 minutes
Taylor Dunes Hike,https://www.oregonhikers.org/field_guide/Taylor_Dunes_Hike,Easy,4.7 miles,95 feet,https://www.oregonhikers.org/field_guide/Taylor_Dunes_Trailhead,Latitude: 43.8607,Longitude: -124.1419,190 minutes
Teal Slough Hike,https://www.oregonhikers.org/field_guide/Teal_Slough_Hike,Easy,0.6 miles,310 feet,https://www.oregonhikers.org/field_guide/Teal_Slough_Trailhead,Latitude: 46.42876,Longitude: -123.91703,140 minutes
Terwilliger-Marquam Loop Hike,https://www.oregonhikers.org/field_guide/Terwilliger-Marquam_Loop_Hike,Easy,4.6 miles,690 feet,https://www.oregonhikers.org/field_guide/Marquam_Trailhead,Latitude: 45.49107,Longitude: -122.68712,10 minutes
The Dalles Riverfront Hike,https://www.oregonhikers.org/field_guide/The_Dalles_Riverfront_Hike,Easy,6.6 miles,100 feet,https://www.oregonhikers.org/field_guide/Discovery_Center_Trailhead,Latitude: 45.65277,Longitude: -121.20949,90 minutes
The Peninsula Loop Hike,https://www.oregonhikers.org/field_guide/The_Peninsula_Loop_Hike,Easy,0.9 miles,250 feet,https://www.oregonhikers.org/field_guide/Peninsula_Trailhead,Latitude: 45.4555,Longitude: -123.6717,95 minutes
The Pinnacles Hike,https://www.oregonhikers.org/field_guide/The_Pinnacles_Hike,Easy,1.2 miles,60 feet,https://www.oregonhikers.org/field_guide/The_Pinnacles_Trailhead,Latitude: 42.8501,Longitude: -122.0075,4.75 hours
The Watchman Hike,https://www.oregonhikers.org/field_guide/The_Watchman_Hike,Easy,1.6 miles,420 feet,https://www.oregonhikers.org/field_guide/The_Watchman_Trailhead,Latitude: 42.9459,Longitude: -122.1692,4.25 hours
