hike_name,Field1_links,difficulty,distance,elevation,URL,latitude,longitude,drive_time
A.G. Aiken Lava Bed Loop Hike,https://www.oregonhikers.org/field_guide/A.G._Aiken_Lava_Bed_Loop_Hike,Difficult,14.7 miles,"3,235 feet",https://www.oregonhikers.org/field_guide/Snipes_Mountain_Trailhead,Latitude: 46.09301,Longitude: -121.47999,110 minutes
Aldrich Butte-Cedar Falls Loop Hike,https://www.oregonhikers.org/field_guide/Aldrich_Butte-Cedar_Falls_Loop_Hike,Difficult,16.4 miles,"3,105 feet",https://www.oregonhikers.org/field_guide/Bonneville_Trailhead,Latitude: 45.65032,Longitude: -121.93389,55 minutes
Arch Cape to Short Sand Beach Hike,https://www.oregonhikers.org/field_guide/Arch_Cape_to_Short_Sand_Beach_Hike,Difficult,15.9 miles,"2,750 feet",https://www.oregonhikers.org/field_guide/Shingle_Mill_Trailhead,Latitude: 45.80317,Longitude: -123.95806,100 minutes
Augspurger Mountain Hike,https://www.oregonhikers.org/field_guide/Augspurger_Mountain_Hike,Difficult,12.6 miles,"4,767 feet",https://www.oregonhikers.org/field_guide/Dog_Mountain_Trailhead,Latitude: 45.69925,Longitude: -121.70843,70 minutes
Badger Lake Loop Hike,https://www.oregonhikers.org/field_guide/Badger_Lake_Loop_Hike,Difficult,12.7 miles,"2,490 feet",https://www.oregonhikers.org/field_guide/Post_Camp_Trailhead,Latitude: 45.28159,Longitude: -121.48843,120 minutes
Bagby to Silver King Lake Hike,https://www.oregonhikers.org/field_guide/Bagby_to_Silver_King_Lake_Hike,Difficult,15.2 miles,"2,550 feet",https://www.oregonhikers.org/field_guide/Bagby_Hot_Springs_Trailhead,Latitude: 44.95402,Longitude: -122.17023,90 minutes
Barlow Ridge Loop Hike,https://www.oregonhikers.org/field_guide/Barlow_Ridge_Loop_Hike,Difficult,10.5 miles,"2,845 feet",https://www.oregonhikers.org/field_guide/Barlow_Pass_Trailhead,Latitude: 45.28249,Longitude: -121.68552,80 minutes
Barrett Spur Add-on Hike,https://www.oregonhikers.org/field_guide/Barrett_Spur_Add-on_Hike,Difficult,3.6 miles,"2,000 feet",https://www.oregonhikers.org/field_guide/Cairn_Basin_from_Vista_Ridge_Hike,Latitude: 45.4429,Longitude: -121.7292,125 minutes
Battle Ax Creek Loop Hike,https://www.oregonhikers.org/field_guide/Battle_Ax_Creek_Loop_Hike,Difficult,15.4 miles,"4,855 feet",https://www.oregonhikers.org/field_guide/Elk_Lake_Junction_Trailhead,Latitude: 44.8252,Longitude: -122.1250,145 minutes
Belding Hike,https://www.oregonhikers.org/field_guide/Belding_Hike,Difficult,8 miles,620 feet,https://www.oregonhikers.org/field_guide/North_Fork_Salmonberry_Trailhead,Latitude: 45.72835,Longitude: -123.50620,2 hours
Bell Creek Loop Hike,https://www.oregonhikers.org/field_guide/Bell_Creek_Loop_Hike,Difficult,17 miles,"3,330 feet",https://www.oregonhikers.org/field_guide/Oneonta_Trailhead,Latitude: 45.58849,Longitude: -122.07849,45 minutes
Bells Mountain Hike,https://www.oregonhikers.org/field_guide/Bells_Mountain_Hike,Difficult,15.6 miles,"3,040 feet",https://www.oregonhikers.org/field_guide/Moulton_Falls_Upper_Trailhead,Latitude: 45.83317,Longitude: -122.38374,50 minutes
Benson Plateau Loop Hike,https://www.oregonhikers.org/field_guide/Benson_Plateau_Loop_Hike,Difficult,16.4 miles,"4,030 feet",https://www.oregonhikers.org/field_guide/Herman_Creek_Trailhead,Latitude: 45.68280,Longitude: -121.84249,1 hour
Big Huckleberry Mountain Hike,https://www.oregonhikers.org/field_guide/Big_Huckleberry_Mountain_Hike,Difficult,11.8 miles,"2,935 feet",https://www.oregonhikers.org/field_guide/Grassy_Knoll_Trailhead,Latitude: 45.79759,Longitude: -121.74112,105 minutes
Big Huckleberry Mountain from Crest Camp Hike,https://www.oregonhikers.org/field_guide/Big_Huckleberry_Mountain_from_Crest_Camp_Hike,Difficult,12.6 miles,"1,710 feet",https://www.oregonhikers.org/field_guide/Crest_Camp_Trailhead,Latitude: 45.90928,Longitude: -121.80252,85 minutes
Birkenfeld Mountain via Three Corner Rock Hike,https://www.oregonhikers.org/field_guide/Birkenfeld_Mountain_via_Three_Corner_Rock_Hike,Difficult,11.4 miles,"2,325 feet",https://www.oregonhikers.org/field_guide/Rock_Creek_Pass_Trailhead,Latitude: 45.74929,Longitude: -122.04330,85 minutes
Bluegrass Ridge-Cold Spring Creek Loop Hike,https://www.oregonhikers.org/field_guide/Bluegrass_Ridge-Cold_Spring_Creek_Loop_Hike,Difficult,15.5 miles,"3,580 feet",https://www.oregonhikers.org/field_guide/Polallie_Trailhead,Latitude: 45.41756,Longitude: -121.57002,100 minutes
Boulder Creek-Swamp Creek Loop Hike,https://www.oregonhikers.org/field_guide/Boulder_Creek-Swamp_Creek_Loop_Hike,Difficult,10.5 miles,"1,370 feet",https://www.oregonhikers.org/field_guide/Crane_Creek_Trailhead,Latitude: 45.2183,Longitude: -121.5421,2 hours
Boulder Ridge to Huckleberry Mountain Hike,https://www.oregonhikers.org/field_guide/Boulder_Ridge_to_Huckleberry_Mountain_Hike,Difficult,10.6 miles,"3,450 feet",https://www.oregonhikers.org/field_guide/Wildwood_Recreation_Area_Trailhead,Latitude: 45.3501,Longitude: -121.9924,60 minutes
Buck Peak from Lolo Pass Hike,https://www.oregonhikers.org/field_guide/Buck_Peak_from_Lolo_Pass_Hike,Difficult,15.2 miles,"3,355 feet",https://www.oregonhikers.org/field_guide/Lolo_Pass_Trailhead,Latitude: 45.42718,Longitude: -121.79686,1.5 hours
Buck Peak from Lost Lake Hike,https://www.oregonhikers.org/field_guide/Buck_Peak_from_Lost_Lake_Hike,Difficult,14.3 miles,"2,430 feet",https://www.oregonhikers.org/field_guide/Lost_Lake_Trailhead,Latitude: 45.49585,Longitude: -121.82248,2 hours
Butte Camp Dome Loop Hike,https://www.oregonhikers.org/field_guide/Butte_Camp_Dome_Loop_Hike,Difficult,14.3 miles,"3,630 feet",https://www.oregonhikers.org/field_guide/Blue_Lake_Trailhead,Latitude: 46.16650,Longitude: -122.26228,90 minutes
Cairn Basin from Vista Ridge Hike,https://www.oregonhikers.org/field_guide/Cairn_Basin_from_Vista_Ridge_Hike,Difficult,7.6 miles,"1,560 feet",https://www.oregonhikers.org/field_guide/Vista_Ridge_Trailhead,Latitude: 45.4429,Longitude: -121.7292,125 minutes
Camp Lake from Pole Creek Hike,https://www.oregonhikers.org/field_guide/Camp_Lake_from_Pole_Creek_Hike,Difficult,14.2 miles,"2,000 feet",https://www.oregonhikers.org/field_guide/Pole_Creek_Trailhead,Latitude: 44.18756,Longitude: -121.70075,3 hours
Camp Lake to Green Lakes Pass Add-on Hike,https://www.oregonhikers.org/field_guide/Camp_Lake_to_Green_Lakes_Pass_Add-on_Hike,Difficult,3.5 miles,700 feet,https://www.oregonhikers.org/field_guide/Camp_Lake,Latitude: 44.13313,Longitude: -121.76009,3 hours
Casey Creek Loop Hike,https://www.oregonhikers.org/field_guide/Casey_Creek_Loop_Hike,Difficult,11.3 miles,"3,995 feet",https://www.oregonhikers.org/field_guide/Herman_Creek_Trailhead,Latitude: 45.68280,Longitude: -121.84249,1 hour
Cast Creek-Horseshoe Ridge Loop Hike,https://www.oregonhikers.org/field_guide/Cast_Creek-Horseshoe_Ridge_Loop_Hike,Difficult,13.6 miles,"3,715 feet",https://www.oregonhikers.org/field_guide/Cast_Creek_Trailhead,Latitude: 45.38213,Longitude: -121.85938,65 minutes
Cedar Mountain Loop Hike,https://www.oregonhikers.org/field_guide/Cedar_Mountain_Loop_Hike,Difficult,17.1 miles,"3,970 feet",https://www.oregonhikers.org/field_guide/Bonneville_Trailhead,Latitude: 45.65032,Longitude: -121.93389,55 minutes
Cinnamon Ridge Loop Hike,https://www.oregonhikers.org/field_guide/Cinnamon_Ridge_Loop_Hike,Difficult,14.1 miles,"2,950 feet",https://www.oregonhikers.org/field_guide/Kalama_Horse_Camp_Trailhead,Latitude: 46.14307,Longitude: -122.32381,90 minutes
Coldwater Peak Hike,https://www.oregonhikers.org/field_guide/Coldwater_Peak_Hike,Difficult,13.8 miles,"3,360 feet",https://www.oregonhikers.org/field_guide/Johnston_Ridge_Observatory_Trailhead,Latitude: 46.27757,Longitude: -122.21603,140 minutes
Coldwater Peak from South Coldwater Hike,https://www.oregonhikers.org/field_guide/Coldwater_Peak_from_South_Coldwater_Hike,Difficult,14 miles,"3,420 feet",https://www.oregonhikers.org/field_guide/South_Coldwater_Trailhead,Latitude: 46.285809,Longitude: -122.253799,110 minutes
