hike_name,Field1_links,difficulty,distance,elevation,URL,latitude,longitude,drive_time
Abiqua Falls Hike,https://www.oregonhikers.org/field_guide/Abiqua_Falls_Hike,Moderate,0.8 miles,180 feet,https://www.oregonhikers.org/field_guide/Abiqua_Falls_Trailhead,Latitude: 44.93127,Longitude: -122.56800,90 minutes
Acker Lake Loop Hike,https://www.oregonhikers.org/field_guide/Acker_Lake_Loop_Hike,Moderate,10.1 miles,860 feet,https://www.oregonhikers.org/field_guide/Thomas_Lake_Trailhead,Latitude: 46.00577,Longitude: -121.83923,2 hours
Adams Glacier Meadows Hike,https://www.oregonhikers.org/field_guide/Adams_Glacier_Meadows_Hike,Moderate,8.2 miles,"2,250 feet",https://www.oregonhikers.org/field_guide/Killen_Creek_Trailhead,Latitude: 46.2883,Longitude: -121.5523,3 hours
Albany Riverfront Hike,https://www.oregonhikers.org/field_guide/Albany_Riverfront_Hike,Moderate,6.8 miles,60 feet,https://www.oregonhikers.org/field_guide/Monteith_Riverpark_Trailhead,Latitude: 44.6374,Longitude: -123.1110,75 minutes
Alder Springs-Lower Whychus Creek Hike,https://www.oregonhikers.org/field_guide/Alder_Springs-Lower_Whychus_Creek_Hike,Moderate,7.2 miles,910 feet,https://www.oregonhikers.org/field_guide/Alder_Springs_Trailhead_(Whychus_Creek),Latitude: 44.4333,Longitude: -121.3577,3.5 hours
Aldrich Butte Hike,https://www.oregonhikers.org/field_guide/Aldrich_Butte_Hike,Moderate,13.8 miles,"2,405 feet",https://www.oregonhikers.org/field_guide/Bonneville_Trailhead,Latitude: 45.65032,Longitude: -121.93389,55 minutes
Amanda's Trail Hike,https://www.oregonhikers.org/field_guide/Amanda%27s_Trail_Hike,Moderate,7.4 miles,"1,170 feet",https://www.oregonhikers.org/field_guide/Yachats_Ocean_Road_Trailhead,Latitude: 44.3041,Longitude: -124.1078,155 minutes
Angels Rest Hike,https://www.oregonhikers.org/field_guide/Angels_Rest_Hike,Moderate,4.8 miles,"1,475 feet",https://www.oregonhikers.org/field_guide/Angels_Rest_Trailhead,Latitude: 45.56065,Longitude: -122.17241,35 minutes
Angels Rest-Devils Rest Loop Hike,https://www.oregonhikers.org/field_guide/Angels_Rest-Devils_Rest_Loop_Hike,Moderate,10.8 miles,"3,040 feet",https://www.oregonhikers.org/field_guide/Angels_Rest_Trailhead,Latitude: 45.56065,Longitude: -122.17241,35 minutes
Ape Canyon Hike,https://www.oregonhikers.org/field_guide/Ape_Canyon_Hike,Moderate,11 miles,"2,485 feet",https://www.oregonhikers.org/field_guide/Ape_Canyon_Trailhead,Latitude: 46.165341,Longitude: -122.092216,100 minutes
Arch Cape Loop Hike,https://www.oregonhikers.org/field_guide/Arch_Cape_Loop_Hike,Moderate,5.5 miles,520 feet,https://www.oregonhikers.org/field_guide/Tide_Road_Trailhead,Latitude: 45.7849,Longitude: -123.9680,100 minutes
Archer Mountain Hike,https://www.oregonhikers.org/field_guide/Archer_Mountain_Hike,Moderate,4.4 miles,"2,000 feet",https://www.oregonhikers.org/field_guide/High_Valley_Trailhead,Latitude: 45.61291,Longitude: -122.11760,45 minutes
Aspen Butte Hike,https://www.oregonhikers.org/field_guide/Aspen_Butte_Hike,Moderate,12 miles,"2,500 feet",https://www.oregonhikers.org/field_guide/Clover_Creek_Trailhead,Latitude: 42.3001,Longitude: -122.13617,6 hours
August Mountain Loop Hike,https://www.oregonhikers.org/field_guide/August_Mountain_Loop_Hike,Moderate,5 miles,540 feet,https://www.oregonhikers.org/field_guide/Shellburg_Falls_Trailhead,Latitude: 44.80552,Longitude: -122.62736,60 minutes
Azalea Lake via Steve Fork Hike,https://www.oregonhikers.org/field_guide/Azalea_Lake_via_Steve_Fork_Hike,Moderate,13 miles,"2,400 feet",https://www.oregonhikers.org/field_guide/Steve_Fork_Trailhead,Latitude: 42.00244,Longitude: -123.3329,5.5 hours
